Vernier Format 2
ayonisbad.txt 5/7/111 14:43:26
Run 1
Time	Potential	
T	P	
s	V	

34.9	0.062	
35.0	0.062	
35.1	0.062	
35.2	0.053	
35.3	0.059	
35.4	0.059	
35.5	0.062	
35.6	0.059	
35.7	0.053	
35.8	0.059	
35.9	0.062	
36.0	0.059	
36.1	0.053	
36.2	0.053	
36.3	0.053	
36.4	0.053	
36.5	0.050	
36.6	0.053	
36.7	0.053	
36.8	0.053	
36.9	0.041	
37.0	0.053	
37.1	0.050	
37.2	0.050	
37.3	0.050	
37.4	0.050	
37.5	0.050	
37.6	0.050	
37.7	0.050	
37.8	0.044	
37.9	0.041	
38.0	0.047	
38.1	0.044	
38.2	0.050	
38.3	0.035	
38.4	0.044	
38.5	0.044	
38.6	0.044	
38.7	0.044	
38.8	0.044	
38.9	0.044	
39.0	0.041	
39.1	0.041	
39.2	0.044	
39.3	0.035	
39.4	0.044	
39.5	0.038	
39.6	0.044	
39.7	0.041	
39.8	0.041	
39.9	0.041	
40.0	0.038	
40.1	0.038	
40.2	0.038	
40.3	0.041	
40.4	0.035	
40.5	0.038	
40.6	0.038	
40.7	0.038	
40.8	0.038	
40.9	0.035	
41.0	0.038	
41.1	0.035	
41.2	0.032	
41.3	0.035	
41.4	0.038	
41.5	0.035	
41.6	0.035	
41.7	0.032	
41.8	0.032	
41.9	0.032	
42.0	0.035	
42.1	0.032	
42.2	0.035	
42.3	0.032	
42.4	0.032	
42.5	0.029	
42.6	0.029	
42.7	0.032	
42.8	0.029	
42.9	0.029	
43.0	0.029	
43.1	0.032	
43.2	0.032	
43.3	0.029	
43.4	0.029	
43.5	0.026	
43.6	0.029	
43.7	0.029	
43.8	0.026	
43.9	0.026	
44.0	0.026	
44.1	0.026	
44.2	0.026	
44.3	0.026	
44.4	0.029	
44.5	0.026	
44.6	0.029	
44.7	0.026	
44.8	0.026	
44.9	0.026	
45.0	0.023	
45.1	0.026	
45.2	0.026	
45.3	0.020	
45.4	0.017	
45.5	0.023	
45.6	0.023	
45.7	0.026	
45.8	0.026	
45.9	0.026	
46.0	0.023	
46.1	0.023	
46.2	0.020	
46.3	0.023	
46.4	0.020	
46.5	0.023	
46.6	0.023	
46.7	0.020	
46.8	0.023	
46.9	0.023	
47.0	0.017	
47.1	0.023	
47.2	0.023	
47.3	0.020	
47.4	0.014	
47.5	0.020	
47.6	0.020	
47.7	0.020	
47.8	0.020	
47.9	0.017	
48.0	0.017	
48.1	0.020	
48.2	0.017	
48.3	0.020	
48.4	0.017	
48.5	0.017	
48.6	0.017	
48.7	0.017	
48.8	0.017	
48.9	0.017	
49.0	0.017	
49.1	0.017	
49.2	0.017	
49.3	0.017	
49.4	0.017	
49.5	0.005	
49.6	0.017	
49.7	0.017	
49.8	0.014	
49.9	0.014	
50.0	0.020	
50.1	0.017	
50.2	0.014	
50.3	0.017	
50.4	0.014	
50.5	0.014	
50.6	0.017	
50.7	0.014	
50.8	0.017	
50.9	0.014	
51.0	0.014	
51.1	0.014	
51.2	0.017	
51.3	0.014	
51.4	0.014	
51.5	0.011	
51.6	0.014	
51.7	-0.005	
51.8	0.014	
51.9	0.014	
52.0	0.014	
52.1	0.014	
52.2	0.005	
52.3	0.014	
52.4	0.014	
52.5	0.014	
52.6	-0.008	
52.7	0.014	
52.8	0.011	
52.9	0.014	
53.0	0.014	
53.1	0.014	
53.2	0.014	
53.3	0.014	
53.4	0.011	
53.5	0.014	
53.6	0.011	
53.7	0.014	
53.8	0.011	
53.9	0.011	
54.0	0.014	
54.1	0.011	
54.2	0.011	
54.3	0.008	
54.4	0.014	
54.5	0.008	
54.6	0.014	
54.7	0.011	
54.8	0.011	
54.9	-0.008	
55.0	0.005	
55.1	0.011	
55.2	-0.002	
55.3	-0.011	
55.4	0.011	
55.5	0.011	
55.6	0.011	
55.7	0.008	
55.8	0.008	
55.9	-0.008	
56.0	0.008	
56.1	0.011	
56.2	-0.011	
56.3	-0.005	
56.4	0.011	
56.5	0.008	
56.6	0.011	
56.7	0.008	
56.8	0.005	
56.9	0.008	
57.0	0.014	
57.1	0.011	
57.2	0.008	
57.3	0.011	
57.4	0.011	
57.5	0.008	
57.6	0.011	
57.7	0.011	
57.8	0.011	
57.9	0.011	
58.0	0.008	
58.1	0.011	
58.2	-0.008	
58.3	0.008	
58.4	0.008	
58.5	0.008	
58.6	0.005	
58.7	0.005	
58.8	0.008	
58.9	0.005	
59.0	0.008	
59.1	0.008	
59.2	0.005	
59.3	0.008	
59.4	0.008	
59.5	-0.014	
59.6	0.005	
